kosh,episode,quote,,,,,,
,Midnight on the Firing Line,They are alone. They are a dying race. We should let them pass.,,,,,,
,Deathwalker,Understanding is a three-edged sword. ,,,,,,
,Deathwalker,"Ah, you seek meaning. Then listen to the music, not the song.",,,,,,
,Deathwalker,What is need compared to the path?,,,,,,
,Deathwalker,"Reflection, surprise, terror. For the future.",,,,,,
,Deathwalker,You are not ready for immortality.,,,,,,
,Believers,The avalanche has already started. It is too late for the pebbles to vote.,,,,,,
,Signs and Portents,Leave this place. They are not for you. Go. Leave. Now.,,,,,,
,Chrysalis,(To Sinclair) And so it begins. You have forgotten something.,,,,,,
,The Coming of Shadows,(Turhan: How will this end? )  In fire.,,,,,,
,All Alone in the Night,We were never away. For the first time your mind is quiet enough to hear me. ,,,,,,
,All Alone in the Night,You have always been here.,,,,,,
,"Hunter, Prey",I sought understanding. I listen to the song. Your thoughts became the song.,,,,,,
,Matters of Honor,Yes,,,,,,
,"Hunter, Prey",They are not ready. They would not understand. ,,,,,,
,"Hunter, Prey",(Sheridan: Am I ready?) No. You do not even understand yourself.,,,,,,
,"Hunter, Prey",Can you help me to understand you?,,,,,,
,There All the Honor Lies,One moment of perfect beauty.,,,,,,
,In the Shadow of Z'ha'dum,(Sheridan: Recognized? By Whom?) Everyone.,,,,,,
,In the Shadow of Z'ha'dum,"If you go to Z'ha'dum, you will die.",,,,,,
,Matters of Honor,Being seen by so many at once was a great strain. I returned to my ship to rest. You have a question?,,,,,,
,Matters of Honor,Good,,,,,,
,Matters of Honor,I have always been here. ,,,,,,
,Passing Through Gethsemane,Yes. Formality. Ritual. You should be informed. ,,,,,,
,Dust to Dust, I am who I have always been. ,,,,,,
,Dust to Dust,"It is too late for me, G'Kar. It is not too late for you. Honor my name. Honor my name. ",,,,,,
,Dust to Dust,"We are a dying people, G'Kar. So are the Centauri. Obsessed with each other's death until death is all we can see and death is all we deserve. ",,,,,,
,Dust to Dust,"And will you continue, until there are no more Narns, and no more Centauri? If both sides are dead, no one will care which side deserves the blame. It no longer matters who started it, G'Kar. It only matters who is suffering. ",,,,,,
,Dust to Dust,"And how have you chosen to honor that name? What is there left for Narn if all of creation falls around us? There is nothing. No hope, no dream, no future, no life. Unless we turn from the cycle of death toward something greater. If we are a dying people, then let us die with honor, by helping the others as no one else can. ",,,,,,
,Dust to Dust,"Because you have let them distract you. Blind you with hate. You cannot see the battle for what it is. We are fighting to save one another. We must realize we are not alone. We rise and fall together. And some of us must be sacrificed if all are to be saved. Because if you fail in this then none of us will be saved, and the Narn will be only a memory. [Vanishes.] You have the opportunity here and now to choose, to become something greater and nobler and more difficult than you have been before. The universe does not offer such chances often, G'Kar.",,,,,,
,Interludes and Examinations,Perhaps. But there are still few of us. It is not our time. It is yours. We are not prepared yet. ,,,,,,
,Interludes and Examinations,Impudent.,,,,,,
,Interludes and Examinations,Disobedient. ,,,,,,
,Interludes and Examinations,I will do as you ask. But there is a price to pay. I will not be there to help you when you go to Z'ha'dum. ,,,,,,
,Interludes and Examinations,You do not understand. But you will.,,,,,,
,Interludes and Examinations,"I don't have much time, son. [Flash to Kosh's quarters, where we see vague images of a battle.] I want you to know you were right. I didn't want to admit that. Just pride I guess. You get my age, you get kinda set in your ways. It had to be done. Don't blame yourself for what happened later. [Flash to battle; in Sheridan's dream, Kosh shows pain.] ",,,,,,
,Interludes and Examinations,"It's too late for me. I'm sorry for what I did before. I knew what was ahead. I guess -- I guess I was afraid. When you've lived as long as I have, you -- you get kinda used to it. Ah! [He shows more pain.] I wish I could have done more for you. There's so much I should have said, and now it's too late. ",,,,,,
,Interludes and Examinations,"You're right. It's time you begin fighting this war your way. [Flash to battle; Kosh shows more pain.] I've got to go now, John. ",,,,,,
,Interludes and Examinations,"It's -- it's all right, son. See, as long as you're here, I'll always be here.",,,,,,
,Walkabout,We are all Kosh.,,,,,,
,Walkabout,"I said, is there a problem?",,,,,,
,Z'ha'dum,Jump. Jump now.,,,,,,
,Walkabout,And so it begins.,,,,,,
